GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,EMP_N,PAYQTR1,PAYQTR1_N,PAYANN,PAYANN_N
Geographic identifier code,Id2,Geographic area name,2002 NAICS code,Meaning of 2002 NAICS code,Year,Number of establishments,Number of employees,Noise range for number of employees (%),"First-quarter payroll ($1,000)",Noise range for first-quarter payroll (%),"Annual payroll ($1,000)",Noise range for annual payroll (%)
0500000US06031,06031,"Kings County, California",326,Plastics and rubber products manufacturing,2007,4,c,D,D,D,D,D
0500000US06033,06033,"Lake County, California",326,Plastics and rubber products manufacturing,2007,2,b,D,D,D,D,D
0500000US06037,06037,"Los Angeles County, California",326,Plastics and rubber products manufacturing,2007,466,19457,G,184876,G,727535,G
0500000US06039,06039,"Madera County, California",326,Plastics and rubber products manufacturing,2007,6,317,H,3386,H,14250,H
0500000US06041,06041,"Marin County, California",326,Plastics and rubber products manufacturing,2007,5,c,D,D,D,D,D
0500000US06045,06045,"Mendocino County, California",326,Plastics and rubber products manufacturing,2007,3,c,D,D,D,D,D
0500000US06047,06047,"Merced County, California",326,Plastics and rubber products manufacturing,2007,2,c,D,D,D,D,D
0500000US06053,06053,"Monterey County, California",326,Plastics and rubber products manufacturing,2007,4,b,D,D,D,D,D
0500000US06055,06055,"Napa County, California",326,Plastics and rubber products manufacturing,2007,4,204,H,1822,H,7760,H
0500000US06057,06057,"Nevada County, California",326,Plastics and rubber products manufacturing,2007,3,b,D,D,D,D,D
0500000US06059,06059,"Orange County, California",326,Plastics and rubber products manufacturing,2007,224,10072,G,100327,G,408899,G
0500000US06061,06061,"Placer County, California",326,Plastics and rubber products manufacturing,2007,6,380,H,3969,H,15514,H
0500000US06065,06065,"Riverside County, California",326,Plastics and rubber products manufacturing,2007,92,6361,G,53292,G,227374,G
0500000US06067,06067,"Sacramento County, California",326,Plastics and rubber products manufacturing,2007,33,1009,H,8887,H,36588,H
0500000US06069,06069,"San Benito County, California",326,Plastics and rubber products manufacturing,2007,2,e,D,D,D,D,D
0500000US06071,06071,"San Bernardino County, California",326,Plastics and rubber products manufacturing,2007,165,8265,G,67797,G,273595,G
0500000US06073,06073,"San Diego County, California",326,Plastics and rubber products manufacturing,2007,119,6057,G,54956,G,248888,G
0500000US06075,06075,"San Francisco County, California",326,Plastics and rubber products manufacturing,2007,8,b,S,270,G,1718,G
0500000US06077,06077,"San Joaquin County, California",326,Plastics and rubber products manufacturing,2007,46,2191,H,21164,G,85148,G
0500000US06079,06079,"San Luis Obispo County, California",326,Plastics and rubber products manufacturing,2007,9,248,G,1640,G,6994,G
0500000US06081,06081,"San Mateo County, California",326,Plastics and rubber products manufacturing,2007,20,569,H,5928,H,26298,H
0500000US06083,06083,"Santa Barbara County, California",326,Plastics and rubber products manufacturing,2007,16,257,H,2099,H,8869,H
0500000US06085,06085,"Santa Clara County, California",326,Plastics and rubber products manufacturing,2007,46,1072,G,12896,H,49222,G
0500000US06087,06087,"Santa Cruz County, California",326,Plastics and rubber products manufacturing,2007,11,128,G,1141,G,6895,G
0500000US06089,06089,"Shasta County, California",326,Plastics and rubber products manufacturing,2007,6,138,G,1198,G,4290,G
0500000US06095,06095,"Solano County, California",326,Plastics and rubber products manufacturing,2007,10,683,H,7463,H,33082,H
0500000US06097,06097,"Sonoma County, California",326,Plastics and rubber products manufacturing,2007,28,991,G,10538,G,43914,G
0500000US06099,06099,"Stanislaus County, California",326,Plastics and rubber products manufacturing,2007,14,514,H,4947,H,20540,H
0500000US06101,06101,"Sutter County, California",326,Plastics and rubber products manufacturing,2007,3,b,S,914,H,4281,H
0500000US06107,06107,"Tulare County, California",326,Plastics and rubber products manufacturing,2007,12,1046,G,9443,G,37707,G
0500000US06109,06109,"Tuolumne County, California",326,Plastics and rubber products manufacturing,2007,3,b,D,D,D,D,D
0500000US06111,06111,"Ventura County, California",326,Plastics and rubber products manufacturing,2007,41,2363,G,20433,G,85849,G
0500000US06113,06113,"Yolo County, California",326,Plastics and rubber products manufacturing,2007,8,e,D,D,D,D,D
0500000US06115,06115,"Yuba County, California",326,Plastics and rubber products manufacturing,2007,3,c,D,D,D,D,D
0500000US08001,08001,"Adams County, Colorado",326,Plastics and rubber products manufacturing,2007,19,799,G,9063,H,36011,H
0500000US08005,08005,"Arapahoe County, Colorado",326,Plastics and rubber products manufacturing,2007,15,243,G,2184,G,9233,G
0500000US08013,08013,"Boulder County, Colorado",326,Plastics and rubber products manufacturing,2007,23,425,H,3892,G,16204,G
0500000US08014,08014,"Broomfield County, Colorado",326,Plastics and rubber products manufacturing,2007,3,c,D,D,D,D,D
0500000US08019,08019,"Clear Creek County, Colorado",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US08023,08023,"Costilla County, Colorado",326,Plastics and rubber products manufacturing,2007,1,c,D,D,D,D,D
0500000US08031,08031,"Denver County, Colorado",326,Plastics and rubber products manufacturing,2007,34,795,H,6945,H,29237,G
0500000US08035,08035,"Douglas County, Colorado",326,Plastics and rubber products manufacturing,2007,3,b,D,D,D,D,D
0500000US08039,08039,"Elbert County, Colorado",326,Plastics and rubber products manufacturing,2007,2,b,D,D,D,D,D
0500000US08041,08041,"El Paso County, Colorado",326,Plastics and rubber products manufacturing,2007,10,322,H,3998,H,14550,H
0500000US08043,08043,"Fremont County, Colorado",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US08059,08059,"Jefferson County, Colorado",326,Plastics and rubber products manufacturing,2007,15,331,H,3751,H,18820,H
0500000US08069,08069,"Larimer County, Colorado",326,Plastics and rubber products manufacturing,2007,16,401,G,4097,G,16357,G
0500000US08075,08075,"Logan County, Colorado",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US08077,08077,"Mesa County, Colorado",326,Plastics and rubber products manufacturing,2007,6,c,D,D,D,D,D
0500000US08085,08085,"Montrose County, Colorado",326,Plastics and rubber products manufacturing,2007,3,b,D,D,D,D,D
0500000US08099,08099,"Prowers County, Colorado",326,Plastics and rubber products manufacturing,2007,1,b,D,D,D,D,D
0500000US08101,08101,"Pueblo County, Colorado",326,Plastics and rubber products manufacturing,2007,6,c,D,D,D,D,D
0500000US08103,08103,"Rio Blanco County, Colorado",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US08107,08107,"Routt County, Colorado",326,Plastics and rubber products manufacturing,2007,1,a,D,D,D,D,D
0500000US08123,08123,"Weld County, Colorado",326,Plastics and rubber products manufacturing,2007,16,238,H,1936,H,8180,G
0500000US09001,09001,"Fairfield County, Connecticut",326,Plastics and rubber products manufacturing,2007,41,2311,G,29068,H,112479,G
0500000US09003,09003,"Hartford County, Connecticut",326,Plastics and rubber products manufacturing,2007,44,1189,G,10753,G,47886,G
0500000US09005,09005,"Litchfield County, Connecticut",326,Plastics and rubber products manufacturing,2007,20,881,G,9708,G,41966,G
0500000US09007,09007,"Middlesex County, Connecticut",326,Plastics and rubber products manufacturing,2007,14,643,G,5991,G,25641,G
0500000US09009,09009,"New Haven County, Connecticut",326,Plastics and rubber products manufacturing,2007,47,1703,G,17320,G,73423,G
0500000US09011,09011,"New London County, Connecticut",326,Plastics and rubber products manufacturing,2007,9,418,H,3702,H,15269,H
0500000US09013,09013,"Tolland County, Connecticut",326,Plastics and rubber products manufacturing,2007,3,b,S,413,H,1765,H
0500000US09015,09015,"Windham County, Connecticut",326,Plastics and rubber products manufacturing,2007,18,871,G,10743,H,39148,H
0500000US10001,10001,"Kent County, Delaware",326,Plastics and rubber products manufacturing,2007,2,b,D,D,D,D,D
0500000US10003,10003,"New Castle County, Delaware",326,Plastics and rubber products manufacturing,2007,28,1542,G,18791,G,82313,G
0500000US10005,10005,"Sussex County, Delaware",326,Plastics and rubber products manufacturing,2007,7,147,H,1338,H,5761,H
