"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), for "" All industries,"" for ""<a href=https://iaspub.epa.gov/triexplorer/tri_text.list_chemical_osha>Occupational Safety and Health Administration (OSHA) Chemicals, ""U.S., ""1990"
"Row #","Chemical","CAS Number","Fugitive Air","Stack Air","Total Air","Surface Water","Total","Total","Land Treatment/","Total Surface","Other Land","Total On-site","Total On-site","Off-Site","Off-Site","Off-Site","Total Off-Site","POTWs (Metal","Total Off-Site","Off-Site","Off-Site Disposal-","Off-Site Disposal-","Off-Site","Off-Site","Total Off-site","Total On- and "
"","","","","","Emissions","Discharges","Underground","","Application","Impoundments","Disposal","Releases to","Disposal or","Disposal-","Disposal-","Disposal-","Disposal-","and Metal","Disposal-","Disposal-","Disposal-","Disposal-","Disposal-","Disposal-","Disposal or","Off-site"
"","","","","","","","Injection","","Farming","","","Land","Other Releases","Storage Only","Solidification","Treatment-","Underground","Compounds)","Landfill/Surf.","Land Treatment","Other Land","Other Off-site","Waste Broker","Unknown","Other Releases","Disposal or"
"","","","","","","","","","","","","","","","/Stabilization (Metals Only)","Treatment-Metals Only","Injection","","Surface Impoundments","","Disposal","Management","","","","Other Releases"
"99","TOXAPHENE","008001352","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".",".",".",".",".","                .0000000"
"100","TRICHLOROETHYLENE","000079016","      19,080,197.0000000","      20,948,735.0000000","      40,028,932.0000000","          14,285.0000000","             805.0000000","              89.0000000","               5.0000000","             760.0000000","          11,700.0000000","          12,554.0000000","      40,056,576.0000000","         120,531.0000000",".",".","             510.0000000",".","          56,116.0000000",".",".","         235,382.0000000","         218,636.0000000","         122,689.0000000","         753,864.0000000","      40,810,440.0000000"
"101","URETHANE","000051796","             510.0000000","           3,310.0000000","           3,820.0000000","                .0000000","               5.0000000","               5.0000000","               5.0000000","               5.0000000","               5.0000000","              20.0000000","           3,845.0000000",".",".",".",".",".",".",".",".",".",".",".",".","           3,845.0000000"
"102","VINYL ACETATE","000108054","       1,212,020.0000000","       4,523,449.0000000","       5,735,469.0000000","           5,558.0000000","       1,360,901.0000000","          12,108.0000000","           1,778.0000000","               5.0000000","             260.0000000","          14,151.0000000","       7,116,079.0000000","              50.0000000",".",".","               5.0000000",".","          19,572.0000000","           3,450.0000000","           2,850.0000000","          18,578.0000000","             750.0000000","             512.0000000","          45,767.0000000","       7,161,846.0000000"
"103","VINYL BROMIDE","000593602","           9,190.0000000","             915.0000000","          10,105.0000000","             270.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","          10,375.0000000",".",".",".",".",".",".",".",".",".",".",".",".","          10,375.0000000"
"104","VINYL CHLORIDE","000075014","         375,306.0000000","         860,415.0000000","       1,235,721.0000000","           7,321.0000000","             578.0000000","             264.0000000","                .0000000","           2,211.0000000","                .0000000","           2,475.0000000","       1,246,095.0000000","               6.0000000",".",".",".",".","          23,650.0000000",".",".",".",".",".","          23,656.0000000","       1,269,751.0000000"
" ","Total"," ","     125,073,164.0000000","     192,498,446.0000000","     317,571,610.0000000","       3,849,291.0000000","      25,317,117.0000000","      16,958,568.0000000","       1,256,733.0000000","      18,516,442.0000000","      16,410,806.0000000","      53,142,549.0000000","     399,880,567.0000000","         604,845.0000000","       7,188,721.0000000","       1,651,624.0000000","       1,286,377.0000000","       1,508,782.0000000","     102,448,116.0000000","         183,359.0000000","       1,696,686.0000000","       1,419,768.0000000","       3,139,196.0000000","         960,332.0000000","     122,087,806.0000000","     521,968,373.0000000"
" "
"Reporting year (RY) 2015 is the most recent TRI data available. Facilities reporting to TRI were required to submit their data to EPA by July 1 for the previous calendar year's activities.. TRI Explorer is using an updated data set (released to the public in March 2017). This dataset includes revisions for the years 1988 to 2015 processed by EPA, after the National Analysis Dataset was released. Revisions submitted to EPA after this time are not reflected in TRI Explorer reports."
"Users of TRI information should be aware that TRI data reflect releases and other waste management activities of chemicals, not whether (or to what degree) the public has been exposed to those chemicals. Release estimates alone are not sufficient to determine exposure or to calculate potential adverse effects on human health and the environment. TRI data, in conjunction with other information, can be used as a starting point in evaluating exposures that may result from releases and other waste management activities which involve toxic chemicals. The determination of potential risk depends upon many factors, including the toxicity of the chemical, the fate of the chemical, and the amount and duration of human or other exposure to the chemical after it is released."
"This report includes reported amounts for each of the following four chemical categories: arsenic compounds, chromium compounds, lead compounds, and polycyclic aromatic compounds (PACs). However, only part of each category is classified as an OSHA carcinogen (i.e., OSHA carcinogens include only inorganic arsenic compounds, chromium (VI) compounds, inorganic lead compounds, and all chemicals in the PACs category except for benzo(a)phenanthrene, dibenzo(a,e)fluranthene, benzo(j,k)fluorene, and 3-methylcholanthrene). "
"Off-site disposal or other releases show only net off-site disposal or other releases, that is, off-site disposal or other releases transferred to other TRI facilities reporting such transfers as on-site disposal or other releases are not included to avoid double counting."
"On-site Disposal or Other Releases include Underground Injection to Class I Wells (Section 5.4.1), RCRA Subtitle C Landfills (5.5.1A), Other Landfills (5.5.1B), Fugitive or Non-point Air Emissions (5.1), Stack or Point Air Emissions (5.2), Surface Water Discharges (5.3), Underground Injection to Class II-V Wells (5.4.2), Land Treatment/Application Farming (5.5.2), Surface Impoundments (5.5.3) and Other Land Disposal (5.5.4). Off-site Disposal or Other Releases include from Section 6.2 Underground Injection (M71), RCRA Subtitle C Landfills (M65), Other Landfills (M64, M72), Storage Only (M10), Solidification/Stabilization - Metals and Metal Compounds only (M41 or M40), Wastewater Treatment (excluding POTWs) - Metals and Metal Compounds only (M62 or M61), Surface Impoundments (M63), Land Treatment (M73), Other Land Disposal (M79), Other Off-site Management (M90), Transfers to Waste Broker - Disposal (M94, M91), and Unknown (M99) and, from Section 6.1 Transfers to POTWs (metals and metal compounds only). "
"For purposes of analysis, data reported as Range Code A is calculated using a value of 5 pounds, Range Code B is calculated using a value of 250 pounds and Range Code C is calculated using a value of 750 pounds."
"A decimal point, or . denotes the following: 
if a decimal point is reported across an entire row, the facility submitted a Form A (i.e., the facility certified that its total annual reportable amount is less than 500 pounds, and does not manufacture, process, or otherwise use more than 1 million pounds); or 
if a decimal point is reported in a single column, the facility left that particular cell blank in its Form R submission (a zero in a cell denotes either that the facility reported 0 or NA in its Form R submission)."
"<u>How to cite TRI Explorer.</u>    Following APA Style, 6th edition, an appropriate citation to TRI Explorer is:<br/>United States Environmental Protection Agency. (2017). <i>TRI Explorer</i> (2015 Dataset (released March 2017)) [Internet database]. Retrieved from <a href=https://www.epa.gov/triexplorer>https://www.epa.gov/triexplorer</a>, (June     09, 2017)."
